revision,clones,prevented,detected
399,78,2,76
400,65,2,63
401,65,2,63
402,65,2,63
403,65,2,63
404,78,2,76
405,78,2,76
406,78,2,76
407,78,2,76
408,78,2,76
409,78,2,76
410,65,2,63
411,78,2,76
412,73,2,71
413,78,2,76
414,78,2,76
415,78,2,76
416,78,2,76
417,78,2,76
418,78,2,76
419,78,2,76
420,78,2,76
421,78,2,76
422,78,2,76
423,65,2,63
424,78,2,76
425,78,2,76
426,78,2,76
427,78,2,76
428,78,2,76
429,78,2,76
430,78,2,76
431,84,2,82
432,78,2,76
433,84,2,82
434,84,2,82
435,84,2,82
436,84,2,82
437,84,2,82
438,84,2,82
439,84,2,82
440,84,2,82
441,84,2,82
442,84,2,82
443,84,2,82
444,84,2,82
445,68,2,66
446,68,2,66
447,68,2,66
448,68,2,66
449,68,2,66
450,68,2,66
451,68,2,66
452,68,2,66
453,68,2,66
454,68,2,66
455,68,2,66
456,68,2,66
457,68,2,66
458,68,2,66
459,68,2,66
460,68,2,66
461,68,2,66
462,68,2,66
463,68,2,66
464,68,2,66
465,68,2,66
466,68,2,66
467,68,2,66
468,68,2,66
469,68,2,66
470,68,2,66
471,68,2,66
472,68,2,66
473,219,17,202
474,226,17,209
475,226,17,209
476,224,17,207
477,224,17,207
478,224,17,207
479,224,17,207
480,224,17,207
481,226,17,209
482,224,17,207
483,224,17,207
484,224,17,207
485,225,17,208
486,225,17,208
487,224,17,207
488,224,17,207
489,224,17,207
490,224,17,207
491,122,5,117
492,122,5,117
493,122,5,117
494,118,5,113
495,118,5,113
496,118,5,113
497,118,5,113
498,118,5,113
499,118,5,113
500,118,5,113
501,118,5,113
502,118,5,113
503,118,5,113
504,118,5,113
505,118,5,113
506,118,5,113
507,118,5,113
508,118,5,113
509,118,5,113
510,118,5,113
511,118,5,113
512,118,5,113
513,118,5,113
514,118,5,113
515,118,5,113
516,118,5,113
517,118,5,113
518,118,5,113
519,118,5,113
520,118,5,113
521,118,5,113
522,118,5,113
523,118,5,113
524,118,5,113
525,118,5,113
526,118,5,113
527,118,5,113
528,118,5,113
529,118,5,113
530,117,5,112
531,117,5,112
532,117,5,112
533,117,5,112
534,117,5,112
535,117,5,112
536,117,5,112
537,117,5,112
538,117,5,112
539,117,5,112
540,117,5,112
541,117,5,112
542,117,5,112
543,118,5,113
544,118,5,113
545,118,5,113
546,118,5,113
547,118,5,113
548,118,5,113
549,118,5,113
550,118,5,113
551,118,5,113
552,118,5,113
553,118,5,113
554,118,5,113
555,118,5,113
556,118,5,113
557,118,5,113
558,118,5,113
559,118,5,113
560,118,5,113
561,118,5,113
562,118,5,113
563,118,5,113
564,118,5,113
565,118,5,113
566,118,5,113
567,118,5,113
568,118,5,113
569,118,5,113
570,118,5,113
571,118,5,113
572,118,5,113
573,118,5,113
574,118,5,113
575,118,5,113
576,118,5,113
577,118,5,113
578,118,5,113
579,118,5,113
580,119,5,114
581,119,5,114
582,119,5,114
583,119,5,114
584,119,5,114
585,119,5,114
586,119,5,114
587,119,5,114
588,119,5,114
589,120,5,115
590,120,5,115
591,120,5,115
592,120,5,115
593,120,5,115
594,120,5,115
595,120,5,115
596,120,5,115
597,120,5,115
598,120,5,115
599,120,5,115
600,120,5,115
601,120,5,115
602,120,5,115
603,120,5,115
604,120,5,115
605,120,5,115
606,120,5,115
607,120,5,115
608,120,5,115
609,120,5,115
610,120,5,115
611,120,5,115
612,120,5,115
613,120,5,115
614,120,5,115
615,120,5,115
616,120,5,115
617,123,5,118
618,123,5,118
619,123,5,118
620,123,5,118
621,123,5,118
622,122,5,117
623,122,5,117
624,122,5,117
625,122,5,117
626,122,5,117
627,122,5,117
628,122,5,117
629,122,5,117
630,122,5,117
631,122,5,117
632,122,5,117
633,122,5,117
634,122,5,117
635,122,5,117
636,122,5,117
637,122,5,117
638,122,5,117
639,122,5,117
640,122,5,117
641,122,5,117
642,122,5,117
643,122,5,117
644,122,5,117
645,122,5,117
646,122,5,117
647,122,5,117
648,122,5,117
649,122,5,117
650,123,5,118
651,123,5,118
652,123,5,118
653,123,5,118
654,123,5,118
655,123,5,118
656,123,5,118
657,123,5,118
658,123,5,118
659,123,5,118
660,123,5,118
661,123,5,118
662,123,5,118
663,123,5,118
664,123,5,118
665,123,5,118
666,123,5,118
667,123,5,118
668,123,5,118
669,123,5,118
670,122,5,117
671,122,5,117
672,122,5,117
673,122,5,117
674,122,5,117
675,122,5,117
676,122,5,117
677,122,5,117
678,122,5,117
679,122,5,117
680,122,5,117
681,122,5,117
682,122,5,117
683,122,5,117
684,122,5,117
685,122,5,117
686,122,5,117
687,122,5,117
688,122,5,117
689,122,5,117
690,122,5,117
691,122,5,117
692,122,5,117
693,123,5,118
694,122,5,117
695,122,5,117
696,122,5,117
697,122,5,117
698,122,5,117
699,122,5,117
700,122,5,117
701,122,5,117
702,122,5,117
703,122,5,117
704,122,5,117
705,122,5,117
706,122,5,117
707,122,5,117
708,122,5,117
709,122,5,117
710,122,5,117
711,122,5,117
712,122,5,117
713,122,5,117
714,122,5,117
715,122,5,117
716,122,5,117
717,122,5,117
718,122,5,117
719,122,5,117
720,122,5,117
721,123,5,118
722,122,5,117
723,122,5,117
724,123,5,118
725,123,5,118
726,123,5,118
727,123,5,118
728,123,5,118
729,123,5,118
730,123,5,118
731,123,5,118
732,123,5,118
733,123,5,118
734,123,5,118
735,123,5,118
736,123,5,118
737,123,5,118
738,125,5,120
739,125,5,120
740,125,5,120
741,125,5,120
742,125,5,120
743,125,5,120
744,125,5,120
745,125,5,120
746,125,5,120
747,125,5,120
748,125,5,120
749,125,5,120
750,125,5,120
751,125,5,120
752,125,5,120
753,125,5,120
754,125,5,120
755,125,5,120
756,125,5,120
757,125,5,120
758,125,5,120
759,125,5,120
760,128,5,123
761,128,5,123
762,128,5,123
763,128,5,123
764,128,5,123
765,128,5,123
766,128,5,123
767,128,5,123
768,128,5,123
769,128,5,123
770,128,5,123
771,128,5,123
772,128,5,123
773,128,5,123
774,128,5,123
775,128,5,123
776,128,5,123
777,128,5,123
778,128,5,123
779,128,5,123
780,128,5,123
781,128,5,123
782,128,5,123
783,128,5,123
784,128,5,123
785,128,5,123
786,128,5,123
787,128,5,123
788,128,5,123
789,128,5,123
790,128,5,123
791,128,5,123
792,128,5,123
793,128,5,123
794,128,5,123
795,128,5,123
796,128,5,123
797,128,5,123
798,128,5,123
799,128,5,123
800,128,5,123
801,128,5,123
802,128,5,123
803,128,5,123
804,128,5,123
805,128,5,123
806,128,5,123
807,128,5,123
808,128,5,123
809,128,5,123
810,128,5,123
811,128,5,123
812,128,5,123
813,128,5,123
814,128,5,123
815,128,5,123
816,129,5,124
817,128,5,123
818,128,5,123
819,128,5,123
820,128,5,123
821,128,5,123
822,128,5,123
823,128,5,123
824,128,5,123
825,128,5,123
